Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000220 от 27.05.2024 10:15:42;;;;;;7 600,000;;200,000;7 400,000
Отпуск в отделение 0000-000224 от 29.05.2024 10:48:28;;;;;;7 400,000;;150,000;7 250,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;7 250,000;;400,000;6 850,000
Отпуск в отделение 0000-000231 от 03.06.2024 13:15:43;;;;;;6 850,000;;200,000;6 650,000
Отпуск в отделение 0000-000233 от 04.06.2024 14:07:33;;;;;;6 650,000;;100,000;6 550,000
Отпуск в отделение 0000-000242 от 10.06.2024 11:05:29;;;;;;6 550,000;;200,000;6 350,000
Отпуск в отделение 0000-000243 от 14.06.2024 11:14:03;;;;;;6 350,000;;100,000;6 250,000
Отпуск в отделение 0000-000245 от 18.06.2024 10:51:43;;;;;;6 250,000;;200,000;6 050,000
Отпуск в отделение 0000-000249 от 19.06.2024 10:24:16;;;;;;6 050,000;;200,000;5 850,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;5 850,000;;250,000;5 600,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;5 600,000;;100,000;5 500,000
Отпуск в отделение 0000-000265 от 27.06.2024 10:15:05;;;;;;5 500,000;;100,000;5 400,000
Отпуск в отделение 0000-000267 от 01.07.2024 9:04:14;;;;;;5 400,000;;300,000;5 100,000
Отпуск в отделение 0000-000271 от 03.07.2024 9:32:38;;;;;;5 100,000;;100,000;5 000,000
Отпуск в отделение 0000-000275 от 05.07.2024 10:53:58;;;;;;5 000,000;;200,000;4 800,000
Отпуск в отделение 0000-000276 от 05.07.2024 11:22:28;;;;;;4 800,000;;250,000;4 550,000
Отпуск в отделение 0000-000279 от 08.07.2024 10:11:33;;;;;;4 550,000;;200,000;4 350,000
Отпуск в отделение 0000-000281 от 10.07.2024 10:13:12;;;;;;4 350,000;;200,000;4 150,000
Отпуск в отделение 0000-000283 от 12.07.2024 10:53:59;;;;;;4 150,000;;100,000;4 050,000
Отпуск в отделение 0000-000288 от 15.07.2024 10:19:45;;;;;;4 050,000;;300,000;3 750,000
Отпуск в отделение 0000-000293 от 17.07.2024 9:59:13;;;;;;3 750,000;;300,000;3 450,000
Отпуск в отделение 0000-000302 от 22.07.2024 13:07:35;;;;;;3 450,000;;250,000;3 200,000
Отпуск в отделение 0000-000303 от 22.07.2024 13:50:37;;;;;;3 200,000;;200,000;3 000,000
Отпуск в отделение 0000-000306 от 26.07.2024 9:58:17;;;;;;3 000,000;;200,000;2 800,000
Отпуск в отделение 0000-000314 от 02.08.2024 14:51:50;;;;;;2 800,000;;100,000;2 700,000
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;2 700,000;;500,000;2 200,000
Поступление товаров 0000-000068 от 07.08.2024 10:06:19;;;;;;2 200,000;8 000,000;;10 200,000
Отпуск в отделение 0000-000321 от 07.08.2024 11:08:47;;;;;;10 200,000;;200,000;10 000,000
Отпуск в отделение 0000-000323 от 07.08.2024 13:27:34;;;;;;10 000,000;;200,000;9 800,000
Отпуск в отделение 0000-000326 от 09.08.2024 11:03:19;;;;;;9 800,000;;100,000;9 700,000
Отпуск в отделение 0000-000328 от 12.08.2024 11:39:14;;;;;;9 700,000;;200,000;9 500,000
Отпуск в отделение 0000-000335 от 14.08.2024 10:08:22;;;;;;9 500,000;;100,000;9 400,000
Отпуск в отделение 0000-000340 от 19.08.2024 9:06:52;;;;;;9 400,000;;500,000;8 900,000
Отпуск в отделение 0000-000344 от 19.08.2024 10:12:36;;;;;;8 900,000;;200,000;8 700,000
Отпуск в отделение 0000-000346 от 22.08.2024 11:21:57;;;;;;8 700,000;;200,000;8 500,000
Отпуск в отделение 0000-000349 от 23.08.2024 11:12:30;;;;;;8 500,000;;100,000;8 400,000
Отпуск в отделение 0000-000351 от 26.08.2024 9:57:40;;;;;;8 400,000;;100,000;8 300,000
Отпуск в отделение 0000-000356 от 28.08.2024 10:51:39;;;;;;8 300,000;;300,000;8 000,000
Отпуск в отделение 0000-000358 от 29.08.2024 11:37:01;;;;;;8 000,000;;100,000;7 900,000
Отпуск в отделение 0000-000360 от 02.09.2024 9:34:07;;;;;;7 900,000;;300,000;7 600,000
Отпуск в отделение 0000-000365 от 05.09.2024 13:17:07;;;;;;7 600,000;;150,000;7 450,000
Отпуск в отделение 0000-000370 от 09.09.2024 10:15:29;;;;;;7 450,000;;200,000;7 250,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;7 250,000;;100,000;7 150,000
Отпуск в отделение 0000-000377 от 16.09.2024 10:13:06;;;;;;7 150,000;;300,000;6 850,000
Отпуск в отделение 0000-000380 от 18.09.2024 9:46:46;;;;;;6 850,000;;200,000;6 650,000
Отпуск в отделение 0000-000382 от 19.09.2024 8:21:45;;;;;;6 650,000;;200,000;6 450,000
Отпуск в отделение 0000-000388 от 23.09.2024 11:04:17;;;;;;6 450,000;;200,000;6 250,000
Отпуск в отделение 0000-000392 от 27.09.2024 10:45:06;;;;;;6 250,000;;400,000;5 850,000
Отпуск в отделение 0000-000398 от 02.10.2024 10:58:02;;;;;;5 850,000;;100,000;5 750,000
Отпуск в отделение 0000-000400 от 04.10.2024 10:35:07;;;;;;5 750,000;;100,000;5 650,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;5 650,000;;500,000;5 150,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;5 150,000;;250,000;4 900,000
Отпуск в отделение 0000-000411 от 14.10.2024 10:47:19;;;;;;4 900,000;;100,000;4 800,000
Отпуск в отделение 0000-000413 от 14.10.2024 11:10:06;;;;;;4 800,000;;100,000;4 700,000
Отпуск в отделение 0000-000417 от 18.10.2024 11:13:47;;;;;;4 700,000;;100,000;4 600,000
Отпуск в отделение 0000-000420 от 21.10.2024 10:57:24;;;;;;4 600,000;;200,000;4 400,000
Отпуск в отделение 0000-000424 от 23.10.2024 10:24:22;;;;;;4 400,000;;200,000;4 200,000
Отпуск в отделение 0000-000426 от 23.10.2024 10:47:42;;;;;;4 200,000;;100,000;4 100,000
Отпуск в отделение 0000-000430 от 25.10.2024 9:45:24;;;;;;4 100,000;;100,000;4 000,000
Отпуск в отделение 0000-000433 от 28.10.2024 10:31:12;;;;;;4 000,000;;200,000;3 800,000
Отпуск в отделение 0000-000436 от 01.11.2024 13:39:05;;;;;;3 800,000;;200,000;3 600,000
Отпуск в отделение 0000-000440 от 05.11.2024 9:29:38;;;;;;3 600,000;;300,000;3 300,000
Отпуск в отделение 0000-000444 от 06.11.2024 8:43:10;;;;;;3 300,000;;250,000;3 050,000
Поступление товаров 0000-000091 от 08.11.2024 11:48:58;;;;;;3 050,000;8 000,000;;11 050,000
Отпуск в отделение 0000-000452 от 11.11.2024 10:25:38;;;;;;11 050,000;;50,000;11 000,000
Отпуск в отделение 0000-000454 от 11.11.2024 10:54:33;;;;;;11 000,000;;100,000;10 900,000
Отпуск в отделение 0000-000456 от 13.11.2024 10:55:45;;;;;;10 900,000;;200,000;10 700,000
Отпуск в отделение 0000-000460 от 18.11.2024 10:02:14;;;;;;10 700,000;;100,000;10 600,000
Отпуск в отделение 0000-000462 от 18.11.2024 10:23:59;;;;;;10 600,000;;200,000;10 400,000
Отпуск в отделение 0000-000465 от 20.11.2024 9:29:48;;;;;;10 400,000;;100,000;10 300,000
Отпуск в отделение 0000-000471 от 22.11.2024 10:29:58;;;;;;10 300,000;;200,000;10 100,000
Отпуск в отделение 0000-000473 от 25.11.2024 9:50:22;;;;;;10 100,000;;150,000;9 950,000
Отпуск в отделение 0000-000483 от 02.12.2024 9:12:54;;;;;;9 950,000;;200,000;9 750,000
Отпуск в отделение 0000-000487 от 03.12.2024 11:22:36;;;;;;9 750,000;;100,000;9 650,000
Отпуск в отделение 0000-000492 от 04.12.2024 15:36:06;;;;;;9 650,000;;200,000;9 450,000
Отпуск в отделение 0000-000495 от 06.12.2024 11:07:16;;;;;;9 450,000;;100,000;9 350,000
Отпуск в отделение 0000-000499 от 09.12.2024 10:48:28;;;;;;9 350,000;;100,000;9 250,000
Отпуск в отделение 0000-000502 от 10.12.2024 11:09:59;;;;;;9 250,000;;100,000;9 150,000
Отпуск в отделение 0000-000507 от 13.12.2024 13:28:27;;;;;;9 150,000;;300,000;8 850,000
Отпуск в отделение 0000-000510 от 17.12.2024 14:03:59;;;;;;8 850,000;;200,000;8 650,000
Отпуск в отделение 0000-000511 от 17.12.2024 14:38:17;;;;;;8 650,000;;300,000;8 350,000
Отпуск в отделение 0000-000518 от 23.12.2024 13:51:58;;;;;;8 350,000;;300,000;8 050,000
Отпуск в отделение 0000-000520 от 24.12.2024 10:56:12;;;;;;8 050,000;;100,000;7 950,000
Отпуск в отделение 0000-000521 от 24.12.2024 13:18:00;;;;;;7 950,000;;500,000;7 450,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;7 450,000;;150,000;7 300,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;7 300,000;;500,000;6 800,000
941222 до 31.12.25, <партии не учитываются>;;;;;;;3 580,000;3 580,000;
Поступление товаров 0000-000002 от 14.02.2024 13:24:09;;;;;;;3 580,000;;3 580,000
Отпуск в отделение 0000-000058 от 16.02.2024 10:39:07;;;;;;3 580,000;;300,000;3 280,000
Отпуск в отделение 0000-000060 от 19.02.2024 11:14:10;;;;;;3 280,000;;500,000;2 780,000
Отпуск в отделение 0000-000062 от 20.02.2024 14:30:18;;;;;;2 780,000;;250,000;2 530,000
Отпуск в отделение 0000-000066 от 21.02.2024 10:30:11;;;;;;2 530,000;;300,000;2 230,000
Отпуск в отделение 0000-000076 от 01.03.2024 10:38:57;;;;;;2 230,000;;200,000;2 030,000
Отпуск в отделение 0000-000082 от 04.03.2024 10:17:59;;;;;;2 030,000;;200,000;1 830,000
Отпуск в отделение 0000-000085 от 06.03.2024 10:08:58;;;;;;1 830,000;;300,000;1 530,000
Отпуск в отделение 0000-000089 от 11.03.2024 10:19:11;;;;;;1 530,000;;100,000;1 430,000
Отпуск в отделение 0000-000092 от 11.03.2024 10:50:43;;;;;;1 430,000;;200,000;1 230,000
Отпуск в отделение 0000-000104 от 18.03.2024 8:53:59;;;;;;1 230,000;;200,000;1 030,000
Отпуск в отделение 0000-000107 от 20.03.2024 10:25:12;;;;;;1 030,000;;200,000;830,000
Отпуск в отделение 0000-000108 от 21.03.2024 8:15:48;;;;;;830,000;;100,000;730,000
Отпуск в отделение 0000-000112 от 22.03.2024 13:16:04;;;;;;730,000;;100,000;630,000
Отпуск в отделение 0000-000116 от 25.03.2024 11:39:14;;;;;;630,000;;150,000;480,000
Отпуск в отделение 0000-000119 от 27.03.2024 10:43:22;;;;;;480,000;;200,000;280,000
Отпуск в отделение 0000-000121 от 01.04.2024 10:10:51;;;;;;280,000;;280,000;
Аскорбиновая кислота, р-р для в/в и в/м введ. 50 мг/мл, амп. 2 мл, Дальхимфарм 01.23;;;;;амп. 2 мл;990,00;1 000,000;1 740,000;250,000
1220624 до 30.06.26, <партии не учитываются>;;;;;;;1 000,000;750,000;250,000
Поступление товаров 0000-000083 от 06.09.2024 15:51:52;;;;;;;1 000,000;;1 000,000
Отпуск в отделение 0000-000368 от 09.09.2024 9:52:34;;;;;;1 000,000;;50,000;950,000
Отпуск в отделение 0000-000372 от 11.09.2024 10:22:00;;;;;;950,000;;100,000;850,000
Отпуск в отделение 0000-000402 от 08.10.2024 9:37:04;;;;;;850,000;;50,000;800,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;800,000;;50,000;750,000
Отпуск в отделение 0000-000422 от 21.10.2024 11:42:29;;;;;;750,000;;50,000;700,000
Отпуск в отделение 0000-000454 от 11.11.2024 10:54:33;;;;;;700,000;;100,000;600,000
Отпуск в отделение 0000-000479 от 28.11.2024 10:45:08;;;;;;600,000;;50,000;550,000
Отпуск в отделение 0000-000516 от 20.12.2024 11:23:13;;;;;;550,000;;50,000;500,000
Отпуск в отделение 0000-000522 от 24.12.2024 15:26:22;;;;;;500,000;;50,000;450,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;450,000;;200,000;250,000
860623 до 30.06.25, <партии не учитываются>;;;;;;990,000;;990,000;
Отпуск в отделение 0000-000022 от 22.01.2024 8:59:29;;;;;;990,000;;50,000;940,000
Отпуск в отделение 0000-000037 от 02.02.2024 11:11:51;;;;;;940,000;;50,000;890,000
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;890,000;;100,000;790,000
Отпуск в отделение 0000-000065 от 21.02.2024 10:19:40;;;;;;790,000;;10,000;780,000
Отпуск в отделение 0000-000078 от 04.03.2024 9:12:23;;;;;;780,000;;50,000;730,000
Отпуск в отделение 0000-000085 от 06.03.2024 10:08:58;;;;;;730,000;;100,000;630,000
Отпуск в отделение 0000-000202 от 20.05.2024 9:36:32;;;;;;630,000;;50,000;580,000
Отпуск в отделение 0000-000213 от 22.05.2024 9:22:30;;;;;;580,000;;100,000;480,000
Отпуск в отделение 0000-000214 от 23.05.2024 13:10:14;;;;;;480,000;;50,000;430,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;430,000;;50,000;380,000
Отпуск в отделение 0000-000259 от 24.06.2024 11:19:16;;;;;;380,000;;50,000;330,000
Отпуск в отделение 0000-000276 от 05.07.2024 11:22:28;;;;;;330,000;;100,000;230,000
Отпуск в отделение 0000-000285 от 15.07.2024 9:35:52;;;;;;230,000;;50,000;180,000
Отпуск в отделение 0000-000294 от 17.07.2024 10:55:10;;;;;;180,000;;50,000;130,000
Отпуск в отделение 0000-000316 от 05.08.2024 11:01:37;;;;;;130,000;;50,000;80,000
Отпуск в отделение 0000-000335 от 14.08.2024 10:08:22;;;;;;80,000;;80,000;
Аспаркам-L, р-р для в/в введ. 45.2 мг/мл+40 мг/мл, амп. 10 мл, пач. картон. 04.2025;;;;;амп. 10 мл;620,00;1 000,000;1 560,000;60,000
180423 до 01.05.25, <партии не учитываются>;;;;;;620,000;;620,000;
Отпуск в отделение 0000-000028 от 26.01.2024 9:59:46;;;;;;620,000;;50,000;570,000
Отпуск в отделение 0000-000044 от 07.02.2024 10:46:01;;;;;;570,000;;50,000;520,000
Отпуск в отделение 0000-000073 от 26.02.2024 10:35:14;;;;;;520,000;;30,000;490,000
Отпуск в отделение 0000-000084 от 06.03.2024 9:46:40;;;;;;490,000;;50,000;440,000
Отпуск в отделение 0000-000104 от 18.03.2024 8:53:59;;;;;;440,000;;50,000;390,000
Отпуск в отделение 0000-000114 от 25.03.2024 11:21:13;;;;;;390,000;;50,000;340,000
Отпуск в отделение 0000-000116 от 25.03.2024 11:39:14;;;;;;340,000;;30,000;310,000
Отпуск в отделение 0000-000161 от 17.04.2024 10:12:19;;;;;;310,000;;50,000;260,000
Отпуск в отделение 0000-000175 от 26.04.2024 10:21:39;;;;;;260,000;;50,000;210,000
Отпуск в отделение 0000-000190 от 07.05.2024 11:06:49;;;;;;210,000;;50,000;160,000
Отпуск в отделение 0000-000205 от 20.05.2024 13:40:22;;;;;;160,000;;50,000;110,000
Отпуск в отделение 0000-000227 от 03.06.2024 9:38:13;;;;;;110,000;;50,000;60,000
Отпуск в отделение 0000-000251 от 20.06.2024 9:03:18;;;;;;60,000;;60,000;
361123 до 01.12.25, <партии не учитываются>;;;;;;;1 000,000;940,000;60,000
Поступление товаров 0000-000058 от 24.07.2024 9:36:48;;;;;;;1 000,000;;1 000,000
Отпуск в отделение 0000-000304 от 24.07.2024 11:20:51;;;;;;1 000,000;;100,000;900,000
Отпуск в отделение 0000-000328 от 12.08.2024 11:39:14;;;;;;900,000;;50,000;850,000
Отпуск в отделение 0000-000331 от 12.08.2024 14:45:46;;;;;;850,000;;50,000;800,000
Отпуск в отделение 0000-000340 от 19.08.2024 9:06:52;;;;;;800,000;;50,000;750,000
Отпуск в отделение 0000-000365 от 05.09.2024 13:17:07;;;;;;750,000;;50,000;700,000
Отпуск в отделение 0000-000385 от 20.09.2024 11:17:32;;;;;;700,000;;50,000;650,000
Отпуск в отделение 0000-000407 от 10.10.2024 10:54:04;;;;;;650,000;;30,000;620,000
Отпуск в отделение 0000-000409 от 11.10.2024 11:13:14;;;;;;620,000;;50,000;570,000
Отпуск в отделение 0000-000420 от 21.10.2024 10:57:24;;;;;;570,000;;50,000;520,000
Отпуск в отделение 0000-000452 от 11.11.2024 10:25:38;;;;;;520,000;;50,000;470,000
